Make,Variant,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type
Najad,440cc,3.95,1.95,9/10 fractional sloop,14400,107.5,Fiberglass,6.0,2.05,375,670,75,13.45,11.74,Diesel,150,Fin keel
Nordship,ds38,3.66,1.98,7/8 fractional sloop,9600,83.0,Fiberglass,5.0,1.9,170,500,55,11.85,10.28,Diesel,55,Long keel
Oyster,46,4.42,2.13,Cutter,17464,121.04,Fiberglass,7.0,1.96,830,800,80,14.07,11.96,Diesel,220,Bulb fin keel
Passport,470,4.52,1.98,Cutter,20412,116.5,Fiberglass,7.0,1.96,750,950,76,14.33,12.19,Diesel,320,Fin keel
Passport,vista515centercockpit,4.57,1.93,Cutter,23899,143.7,Fiberglass,7.0,2.03,1070,1000,110,15.55,13.72,Diesel,450,Fin keel
Sabre,386,3.89,1.905,7/8 fractional sloop,9072,75.0,Fiberglass,6.0,1.93,227,416,40,11.81,10.31,Diesel,182,Bulb fin keel
Sabre,426,4.01,2.17,9/10 fractional sloop,12167,95.0,Fiberglass,6.0,1.98,265,568,54,12.95,11.33,Diesel,56,Bulb fin keel
Tayana,48,4.65,2.085,Cutter,20412,120.5,Fiberglass,6.0,1.96,900,900,76,14.63,12.5,Diesel,300,Cutaway keel
Wauquiez,pilotsaloon41,4.29,2.05,Masthead sloop,12000,94.0,Fiberglass,5.0,1.95,220,460,55,12.8,10.9,Diesel,100,Fin keel
Wauquiez,pilotsaloon47,4.7,2.275,Masthead sloop,16000,141.6,Fiberglass,7.0,2,600,800,110,14.92,13.42,Diesel,200,Fin keel
X-Yachts,x-43,3.95,2.375,9/10 fractional sloop,8900,98.0,Fiberglass,6.0,1.95,165,340,40,13.1,11.45,Diesel,200,Shoal draft keel
X-Yachts,50,4.58,2.65,9/10 fractional sloop,15860,149.0,Fiberglass,7.0,1.98,350,620,75,15.24,13.67,Diesel,110,Shoal draft keel
Zuanelli,52dh,4.45,2.2,Masthead sloop,18000,144.0,Fiberglass,7.0,1.95,500,1000,82,15.9,13.5,Diesel,400,Fin keel
Allures,44,4.34,2.05,Cutter,12450,108.0,Fiberglass with Kevlar reinforcements,6.0,1.98,600,600,75,13.67,12.2,Diesel,200,Swing keel
Alubat,cigale16,4.78,2.7,9/10 fractional sloop,13000,140.4,Aluminum,5.0,1.95,300,600,75,16.03,14.45,Diesel,160,Fin keel
Archambault,a40rc,3.86,2.45,9/10 fractional sloop,6850,84.8,Fiberglass and polyester resin,6.5,1.96,130,200,40,12.35,11.31,Diesel,60,Fin keel
Bavaria,44vision,4.08,2.07,Masthead sloop,11000,106.0,Fiberglass,6.0,2.05,210,360,55,13.78,12.74,Diesel,210,Shoal draft keel
Bavaria,46cruiser,4.35,2.1,Masthead sloop,12600,108.0,Fiberglass,7.0,1.95,210,360,55,14.27,12.74,Diesel,210,Shoal draft keel
Beneteau,oceanis40,3.96,1.975,Masthead sloop,7600,77.5,Fiberglass,6.0,1.95,200,360,40,12.17,11.29,Diesel,200,Fin keel
Beneteau,cyclades43,4.43,1.975,Masthead sloop,9500,90.7,Fiberglass,7.0,1.98,220,530,54,13.26,11.45,Diesel,220,Shoal draft keel
Beneteau,oceanis46,4.25,2.05,Masthead sloop,11020,97.0,Fiberglass,7.0,1.98,235,530,54,14.09,13.11,Diesel,220,Fin keel
Beneteau,oceanis46(ownerversion),4.25,2.05,Masthead sloop,11280,97.0,Fiberglass,4.0,1.98,235,530,75,14.09,13.11,Diesel,220,Fin keel
Beneteau,oceanis49,4.82,2.14,Masthead sloop,12650,129.5,Fiberglass,7.0,2,470,670,76,15.73,14.94,Diesel,75,Shoal draft keel
Bestevaer,53st,4.78,2.22,Cutter,20000,162.7,Aluminum,6.0,2.08,1000,700,100,16.2,14.65,Diesel,400,Canting keel
Caliber,47lrcse,4.57,1.95,Cutter,17237,132.5,Fiberglass,7.0,1.93,820,950,75,14.33,12.5,Diesel,600,Fin keel
Caliber,47lrc,4.57,1.95,Cutter,16466,123.1,Fiberglass,7.0,1.93,820,950,75,14.33,12.5,Diesel,110,Fin keel
